Frame,Point,x,y
2.0,10.0,632.771,552.0
2.0,11.0,642.427,637.549
2.0,12.0,680.442,461.643
2.0,13.0,675.732,554.395
2.0,14.0,659.015,637.622
2.0,15.0,656.658,290.476
2.0,16.0,673.238,278.68
2.0,17.0,651.881,295.266
2.0,18.0,685.156,278.602
2.0,19.0,675.641,656.738
2.0,20.0,678.091,656.549
2.0,21.0,656.629,647.108
2.0,22.0,616.276,659.012
2.0,23.0,616.16,654.286
2.0,24.0,654.185,651.824
2.0,25.0,654.33,302.433
2.0,26.0,678.043,312.627
2.0,27.0,685.356,286.477
2.0,28.0,649.898,287.806
2.0,29.0,654.552,284.926
2.0,30.0,660.092,284.482
2.0,31.0,664.967,281.38
2.0,32.0,669.178,277.612
2.0,33.0,674.497,276.504
2.0,34.0,665.854,303.541
2.0,35.0,672.724,299.552
2.0,36.0,679.151,297.114
2.0,37.0,674.497,304.427
2.0,38.0,657.433,289.358
2.0,39.0,670.951,282.931
2.0,40.0,707.244,442.517
2.0,41.0,698.853,448.867
2.0,42.0,687.06,452.949
2.0,43.0,682.524,454.31
2.0,44.0,692.956,478.575
2.0,45.0,697.265,461.113
2.0,46.0,696.358,470.865
2.0,47.0,696.358,478.122
2.0,48.0,693.864,482.204
2.0,49.0,703.615,461.793
2.0,50.0,701.801,469.958
2.0,51.0,701.574,476.534
2.0,52.0,700.44,479.936
2.0,53.0,708.831,463.608
2.0,54.0,707.244,469.05
2.0,55.0,705.43,473.586
2.0,56.0,706.79,478.122
2.0,57.0,712.687,463.381
2.0,58.0,711.779,466.102
2.0,59.0,711.326,466.783
2.0,60.0,710.646,467.009
2.0,61.0,629.629,428.252
2.0,62.0,638.345,459.905
2.0,63.0,639.263,475.503
2.0,64.0,638.345,475.732
2.0,65.0,627.336,478.943
2.0,66.0,636.74,472.062
2.0,67.0,625.73,479.402
2.0,68.0,629.629,475.044
2.0,69.0,631.694,472.521
2.0,70.0,625.042,464.952
2.0,71.0,623.436,473.209
2.0,72.0,627.794,472.291
2.0,73.0,631.235,468.622
2.0,74.0,616.555,463.346
2.0,75.0,620.455,466.557
2.0,76.0,625.042,466.098
2.0,77.0,628.712,465.869
2.0,78.0,613.574,458.529
2.0,79.0,614.72,462.658
2.0,80.0,620.225,462.199
2.0,81.0,621.372,462.199
3.0,0.0,666.171,292.921
3.0,1.0,673.31,330.902
3.0,2.0,635.245,328.474
3.0,3.0,623.421,392.777
3.0,4.0,639.964,449.823
3.0,5.0,713.592,333.223
3.0,6.0,713.786,397.527
3.0,7.0,697.141,449.809
3.0,8.0,654.31,456.951
3.0,9.0,630.463,452.238
3.0,10.0,628.137,552.001
3.0,11.0,644.795,637.536
3.0,12.0,678.02,461.629
3.0,13.0,673.34,554.403
3.0,14.0,661.44,637.752
3.0,15.0,656.593,290.506
3.0,16.0,673.19,281.004
3.0,17.0,649.508,295.219
3.0,18.0,682.815,278.695
3.0,19.0,647.121,656.562
3.0,20.0,668.491,656.66
3.0,21.0,668.491,651.831
3.0,22.0,616.176,659.003
3.0,23.0,616.116,654.269
3.0,24.0,654.335,649.444
3.0,25.0,652.561,300.971
3.0,26.0,674.552,314.47
3.0,27.0,683.479,287.689
3.0,28.0,648.859,287.471
3.0,29.0,653.214,285.076
3.0,30.0,658.875,284.858
3.0,31.0,663.883,282.681
3.0,32.0,667.584,278.544
3.0,33.0,672.81,278.109
3.0,34.0,663.012,304.237
3.0,35.0,669.326,300.971
3.0,36.0,676.512,298.14
3.0,37.0,671.068,305.979
3.0,38.0,655.609,289.649
3.0,39.0,669.326,284.858
3.0,40.0,685.75,450.078
3.0,41.0,680.325,463.524
3.0,42.0,679.853,466.827
3.0,43.0,673.719,473.668
3.0,44.0,677.966,484.755
3.0,45.0,681.268,469.893
3.0,46.0,681.74,480.745
3.0,47.0,683.155,486.406
3.0,48.0,681.504,488.765
3.0,49.0,688.345,470.601
3.0,50.0,686.93,481.216
3.0,51.0,687.166,485.463
3.0,52.0,686.458,486.878
3.0,53.0,695.658,470.837
3.0,54.0,693.771,480.745
3.0,55.0,692.355,485.934
3.0,56.0,689.76,486.878
3.0,57.0,698.724,470.837
3.0,58.0,698.253,479.565
3.0,59.0,694.006,485.699
3.0,60.0,692.591,486.642
3.0,61.0,641.792,457.511
3.0,62.0,648.086,465.501
3.0,63.0,648.57,478.816
3.0,64.0,645.181,486.322
3.0,65.0,638.886,486.564
3.0,66.0,643.002,478.574
3.0,67.0,635.255,487.29
3.0,68.0,634.529,492.374
3.0,69.0,634.044,494.553
3.0,70.0,638.644,477.122
3.0,71.0,632.592,484.869
3.0,72.0,632.107,489.953
3.0,73.0,634.044,493.342
3.0,74.0,633.802,473.248
3.0,75.0,629.202,480.995
3.0,76.0,630.413,484.869
3.0,77.0,631.381,487.048
3.0,78.0,629.929,469.374
3.0,79.0,627.508,476.637
3.0,80.0,628.718,478.574
3.0,81.0,630.413,480.027
4.0,0.0,659.021,292.922
4.0,1.0,673.213,331.028
4.0,2.0,635.193,328.507
4.0,3.0,637.537,397.512
4.0,4.0,642.389,452.253
4.0,5.0,711.199,335.661
4.0,6.0,711.352,406.932
4.0,7.0,689.921,452.252
4.0,8.0,656.606,449.824
4.0,9.0,632.908,447.495
4.0,10.0,621.008,549.643
4.0,11.0,644.767,635.324
4.0,12.0,680.387,454.533
4.0,13.0,677.997,551.996
4.0,14.0,668.523,637.678
4.0,15.0,654.187,290.469
4.0,16.0,668.513,281.004
4.0,17.0,642.372,295.198
4.0,18.0,680.395,278.732
4.0,19.0,663.796,656.584
4.0,20.0,675.711,656.554
4.0,21.0,668.512,647.174
4.0,22.0,616.187,659.011
4.0,23.0,616.106,654.267
4.0,24.0,654.28,647.104
4.0,25.0,648.12,302.307
4.0,26.0,669.691,313.092
4.0,27.0,681.825,288.6
4.0,28.0,644.3,287.477
4.0,29.0,648.57,285.005
4.0,30.0,653.288,284.781
4.0,31.0,658.681,282.758
4.0,32.0,663.624,279.163
4.0,33.0,669.242,278.04
4.0,34.0,658.232,304.329
4.0,35.0,664.074,301.408
4.0,36.0,671.039,299.161
4.0,37.0,666.096,306.352
4.0,38.0,651.041,289.949
4.0,39.0,665.197,284.781
4.0,40.0,680.495,455.965
4.0,41.0,687.554,466.423
4.0,42.0,669.514,477.927
4.0,43.0,667.422,488.385
4.0,44.0,669.514,478.189
4.0,45.0,668.468,479.757
4.0,46.0,671.867,478.711
4.0,47.0,671.344,488.385
4.0,48.0,669.775,493.876
4.0,49.0,680.495,475.051
4.0,50.0,677.88,481.065
4.0,51.0,677.358,491.0
4.0,52.0,673.436,494.66
4.0,53.0,684.417,480.28
4.0,54.0,683.371,482.895
4.0,55.0,680.756,489.954
4.0,56.0,679.711,491.784
4.0,57.0,686.508,481.065
