Frame,plane_x,plane_y
119,-971.0019517609805,-239.82012571026783
120,-976.6703300019049,-255.56096295535144
121,-981.9435475099363,-271.264014666456
122,-986.6549640880725,-286.6523183130654
123,-990.6024691572553,-301.59517063553085
124,-993.5495005133114,-316.1072943065296
125,-995.2592432398499,-330.32139471264315
126,-995.53755548487,-344.4564625985187
127,-994.236187290501,-358.81649262303364
128,-991.2537758933254,-373.77394232005537
129,-986.5421012662672,-389.666643674495
130,-980.1092694051451,-406.75645588810556
131,-972.0202109087462,-425.2280678455211
132,-962.3966879913662,-445.1889822625836
133,-951.4168856417208,-466.6693912567088
134,-939.2929866372461,-489.6153228663378
135,-926.238419439676,-513.8783560227305
136,-912.4657275748493,-539.2147741599576
137,-898.1847839918524,-565.2921688387482
138,-883.5882674897346,-591.7427285828708
139,-868.8441029695855,-618.1884419908473
140,-854.0948986793217,-644.240718502814
141,-839.457926078697,-669.5003670904807
142,-825.025118291627,-693.5578900341166
143,-810.8627408952556,-716.0249839255508
144,-797.0075245553692,-736.5999121754195
145,-783.463196753366,-755.0807050079504
146,-770.2021518929472,-771.3633878714191
147,-757.1847192201385,-785.4201267582165
148,-744.3696048728605,-797.2849712366417
149,-731.7122801564462,-807.052136245662
150,-719.1648421075706,-814.8758814452166
151,-706.676034882648,-820.9704916225082
152,-694.1970779095299,-825.6048357413316
153,-681.6974093142546,-829.0824566226953
154,-669.1698359855719,-831.7286864672944
155,-656.6294443786245,-833.8900101013559
156,-644.0941253959054,-835.9379194832584
157,-631.5719742696257,-838.2751021511546
158,-619.0655887671277,-841.343032292951
159,-606.5727140199227,-845.6230125589607
160,-594.0862405701756,-851.6361383491959
161,-581.5916122011572,-859.8959172431419
162,-569.0591622694982,-870.7701476711633
163,-556.4427808610501,-884.461180553052
164,-543.6806650178784,-901.0071517688885
165,-530.7102856117612,-920.2887715671686
166,-517.4814603342016,-942.0337067723085
167,-503.9536958356383,-965.8096730262434
168,-490.0954536552124,-991.02278929647
169,-475.88415023265304,-1016.9175782353958
170,-461.30824408102586,-1042.640072310716
171,-446.37468253945826,-1067.4762365038277
172,-431.1090358171267,-1090.9062546724667
173,-415.5546872772714,-1112.603310355025
174,-399.7608082618291,-1132.413212121664
175,-383.76849240589627,-1150.330900488696
176,-367.6099865696827,-1166.4991448613803
177,-351.30869083851076,-1181.2085435339225
178,-334.8791585228157,-1194.8975236894737
179,-318.3261972282677,-1208.113021588637
180,-301.6406707448255,-1221.3198365166065
181,-284.7991566127428,-1234.841810930644
182,-267.7646314497382,-1248.8619102167352
183,-250.50158949781869,-1263.4499650380658
184,-232.99765551180556,-1278.6024469516076
185,-215.26519855468567,-1294.2466047606083
186,-197.34130304056546,-1310.241109602957
187,-179.28776835202308,-1326.3760634756181
188,-161.19011543793698,-1342.38954207357
189,-143.1513312715986,-1358.0706832137507
190,-125.2886855641579,-1373.3010340692615
191,-107.73303135446253,-1388.055492212013
192,-90.61070396118288,-1402.3792125622667
193,-74.01133820009261,-1416.346533553622
194,-57.985233281379365,-1430.058179850395
195,-42.54398608246193,-1443.6425936237724
196,-27.66051470898524,-1457.2559840821061
197,-13.270854043388486,-1471.075723847065
198,0.7113206818071722,-1485.2470601172543
199,14.38713413607881,-1499.8579115565005
200,27.87187563717633,-1514.9393093917568
201,41.2796093320132,-1530.4785340531125
202,54.68889294052487,-1546.4483590897416
203,68.13864042541691,-1562.8101465542063
204,81.62883432192119,-1579.512622457694
205,95.12057983444177,-1596.4917837740877
206,108.53791480170744,-1613.6729468731612
207,121.78707761679254,-1630.9926022005086
208,134.76694927668888,-1648.4126712457528
209,147.36745415874051,-1665.9222207662356
210,159.47995890472592,-1683.5342269765854
211,171.0269679202965,-1701.276117646363
212,181.9671353713995,-1719.1882024474248
213,192.29486317992,-1737.3238601931498
214,202.04024694957621,-1755.7495640242173
215,211.26772640660533,-1774.5446154052356
216,220.05661028071924,-1793.7972896181197
217,228.48847618747388,-1813.5986473144717
218,236.65146849271446,-1834.0349433338629
219,244.63305143929807,-1855.1839987371607
220,252.4917002686263,-1877.1059238321927
221,260.2505559699397,-1899.8410388003801
222,267.8974252803172,-1923.4098736967358
223,275.38478068467714,-1947.8131684498655
224,282.6304976246185,-1973.0315384411797
225,289.53282137191815,-1999.018685096766
226,295.9834400185448,-2025.697013679884
227,301.86482661586797,-2052.9645410493686
228,307.055100691276,-2080.7009778375545
229,311.45368480841773,-2108.7880712854358
230,314.98866890578887,-2137.1151207619746
231,317.61690140657987,-2165.5771401847
232,319.32402230565856,-2194.0741860636535
233,320.1240645945939,-2222.512031906461
234,320.04742908629083,-2250.8225428672226
235,319.12701872945115,-2278.9871688321277
236,317.39746954052816,-2307.0382474766598
237,314.89326965769914,-2335.0535798549527
238,311.63769805092346,-2363.1245310374015
239,307.63879438010076,-2391.344717471467
240,302.8893531613328,-2419.8131174088276
241,297.36692376692537,-2448.6358840928074
242,291.03412063256445,-2477.925798716128
243,283.8537410102048,-2507.7745270632627
244,275.8103778565957,-2538.212843893843
245,266.9120336286322,-2569.206496590171
246,257.18999423938703,-2600.659954010423
247,246.69808982140572,-2632.4498368815953
248,235.51229145190126,-2664.440264259716
249,223.72949565407816,-2696.4824183316423
250,211.46643467137056,-2728.4140807793233
251,198.8594369361777,-2760.0598728052705
252,186.04633303453014,-2791.254364034694
253,173.1342729233716,-2821.883146350512
254,160.19709082786923,-2851.885631175973
255,147.27598404844412,-2881.2515252359703
256,134.37999195448162,-2909.998847039097
257,121.48631394345811,-2938.161310776165
258,108.54282175067812,-2965.7886156412537
259,95.4715305570839,-2992.947055547074
260,82.16892604778951,-3019.719501974785
261,68.52133409620114,-3046.1922886440248
262,54.4392020201586,-3072.4259675969633
263,39.86123591218656,-3098.452213813998
264,24.75444526044467,-3124.2764568245007
265,9.124276422051457,-3149.8969109770946
266,-6.97809730958279,-3175.3181370477346
267,-23.457088256643658,-3200.5505244714377
268,-40.17587761976632,-3225.6085324950905
269,-56.95684367973638,-3250.5104644719813
270,-73.59210011764266,-3275.2818243219285
271,-89.87319151431547,-3299.964774433634
272,-105.59610534674925,-3324.619705317319
273,-120.56234461953972,-3349.3239363741204
274,-134.60651638491413,-3374.1508460200475
275,-147.62088172079618,-3399.1513590769914
