Frame,Point,x,y
0,0,670.6707896054447,293.3555462487357
0,1,675.7652521682127,330.42792322120516
0,2,638.3643151870646,333.3008368888786
0,3,616.1468445399754,386.1428591410373
0,4,616.1009747541053,425.8200607006657
0,5,711.6715816534709,323.9363742965374
0,6,727.5126437781266,380.8778154977119
0,7,730.3538595353931,428.93856143956515
0,8,659.1815946679171,459.1799934378105
0,9,635.4925983438891,454.4997874825285
0,10,620.5075725745296,542.3581754772146
0,11,637.7660491307774,634.6728167974239
0,12,689.9644263257953,461.62260684612977
0,13,694.8315570517981,547.2881466399825
0,14,656.7585149341668,635.3550562394526
0,15,656.6855470611056,292.401021927727
0,16,672.6922209064612,278.4993682232323
0,17,651.8012172841104,298.1142819054524
0,18,678.572537853141,276.0423672297035
0,19,689.8726235422661,663.4384820871235
0,20,689.8494187538422,656.4462847662448
0,21,654.302691309593,637.7795343715954
0,22,616.9284028493862,658.6820608500005
0,23,612.1679293946737,654.273125834461
0,24,643.3708307751052,641.9498220148878
0,25,652.7487981759333,303.27989284768375
0,26,676.5073726642545,309.54883731856194
0,27,683.1860225053836,286.6429126778323
0,28,647.9766020360959,290.26633849188255
0,29,651.2059033454237,286.6947585713431
0,30,656.7289342374569,285.8616492590198
0,31,662.1908495717589,281.72755463728413
0,32,667.074585753767,277.6976137599854
0,33,672.3210554537534,276.74854819888424
0,34,664.7453623742408,303.7025863919641
0,35,671.2925686051838,301.1683607185831
0,36,677.3465825232225,297.6916492491069
0,37,673.4291420252639,304.75446914133795
0,38,656.0617868953298,290.14800624989186
0,39,668.9280074851803,283.0962055512119
0,40,740.7290481304224,452.2689433422544
0,41,732.9497478209283,443.0617137430179
0,42,721.6312799281011,436.52058867473767
0,43,721.586800704084,437.59984134735436
0,44,723.5865806483853,441.1008106035388
0,45,715.9011722671174,460.8491363390575
0,46,715.7439326791464,452.46818480629435
0,47,718.1408435850606,446.5361634199815
0,48,721.5726008148067,443.2758883892733
0,49,721.6261680463084,463.9369561065344
0,50,721.4057914202622,455.3027079129486
0,51,724.2364925383766,450.0138147338671
0,52,728.3277552417562,448.0686681994496
0,53,727.7267108725725,463.75270460348474
0,54,726.8547300574174,458.7790909326548
0,55,728.8145371828698,453.95141436608685
0,56,730.7692590858062,450.42670733163834
